photo_path,ocr,category,time_ocr
img_ocr/ocr/2024-09-23/B1931TYP_Masuk_2024-09-23_113332.jpeg,B1931TYP,Masuk,2024-09-23 11:33:32
img_ocr/ocr/2024-09-23/B1931TYP_Keluar_2024-09-23_113452.jpeg,B1931TYP,Keluar,2024-09-23 11:34:52
img_ocr/ocr/2024-09-23/Z9273MG_Masuk_2024-09-23_114920.jpg,Z9273MG,Masuk,2024-09-23 11:49:20
img_ocr/ocr/2024-09-23/Z9273MG_Keluar_2024-09-23_114938.jpg,Z9273MG,Keluar,2024-09-23 11:49:38
img_ocr/ocr/2024-09-23/B1730KFH_Masuk_2024-09-23_115113.jpeg,B1730KFH,Masuk,2024-09-23 11:51:13
img_ocr/ocr/2024-09-23/Z9273MG_Masuk_2024-09-23_115724.jpg,Z9273MG,Masuk,2024-09-23 11:57:24
img_ocr/ocr/2024-09-23/Z9273MG_Masuk_2024-09-23_130945.jpg,Z9273MG,Masuk,2024-09-23 13:09:45
img_ocr/ocr/2024-09-23/Z9273MG_Masuk_2024-09-23_132125.jpg,Z9273MG,Masuk,2024-09-23 13:21:25
img_ocr/ocr/2024-09-23/B1730KFH_Masuk_2024-09-23_132143.jpeg,B1730KFH,Masuk,2024-09-23 13:21:43
img_ocr/ocr/2024-09-23/Z9273MG_Keluar_2024-09-23_132519.jpg,Z9273MG,Keluar,2024-09-23 13:25:19
img_ocr/ocr/2024-09-23/B1730KFH_Masuk_2024-09-23_133644.jpeg,B1730KFH,Masuk,2024-09-23 13:36:44
img_ocr/ocr/2024-09-23/B1730KFH_Keluar_2024-09-23_133659.jpeg,B1730KFH,Keluar,2024-09-23 13:36:59
img_ocr/ocr/2024-09-23/B1931TYP_Masuk_2024-09-23_133729.jpeg,B1931TYP,Masuk,2024-09-23 13:37:29
img_ocr/ocr/2024-09-23/Z9273MG_Masuk_2024-09-23_133748.jpg,Z9273MG,Masuk,2024-09-23 13:37:48
img_ocr/ocr/2024-09-23/Z9273MG_Keluar_2024-09-23_133807.jpg,Z9273MG,Keluar,2024-09-23 13:38:07
img_ocr/ocr/2024-09-23/B1730KFH_Keluar_2024-09-23_133858.jpeg,B1730KFH,Keluar,2024-09-23 13:38:58
img_ocr/ocr/2024-09-23/B1730KFH_Masuk_2024-09-23_133924.jpeg,B1730KFH,Masuk,2024-09-23 13:39:24
img_ocr/ocr/2024-09-23/B1730KFH_Keluar_2024-09-23_134022.jpeg,B1730KFH,Keluar,2024-09-23 13:40:22
img_ocr/ocr/2024-09-23/B1730KFH_Masuk_2024-09-23_134332.jpeg,B1730KFH,Masuk,2024-09-23 13:43:32
img_ocr/ocr/2024-09-23/B1730KFH_Keluar_2024-09-23_134357.jpeg,B1730KFH,Keluar,2024-09-23 13:43:57
img_ocr/ocr/2024-09-23/B1931TYP_Masuk_2024-09-23_134709.jpeg,B1931TYP,Masuk,2024-09-23 13:47:09
img_ocr/ocr/2024-09-23/B1931TYP_Keluar_2024-09-23_134729.jpeg,B1931TYP,Keluar,2024-09-23 13:47:29
img_ocr/ocr/2024-09-23/B1730KFH_Masuk_2024-09-23_135015.jpeg,B1730KFH,Masuk,2024-09-23 13:50:15
img_ocr/ocr/2024-09-23/B1931TYP_Keluar_2024-09-23_135045.jpeg,B1931TYP,Keluar,2024-09-23 13:50:45
img_ocr/ocr/2024-09-23/B1730KFH_Keluar_2024-09-23_135543.jpeg,B1730KFH,Keluar,2024-09-23 13:55:43
img_ocr/ocr/2024-09-23/B1931TYP_Masuk_2024-09-23_135800.jpeg,B1931TYP,Masuk,2024-09-23 13:58:00
img_ocr/ocr/2024-09-23/B1730KFH_Keluar_2024-09-23_140042.jpeg,B1730KFH,Keluar,2024-09-23 14:00:42
img_ocr/ocr/2024-09-23/B1730KFH_Masuk_2024-09-23_140109.jpeg,B1730KFH,Masuk,2024-09-23 14:01:09
