photo_path,time_upload,category
img_ocr/upload/2024-09-07 085523/WhatsApp Image 2024-08-14 at 1.30.57 PM (2)-2024-09-05 14:34:18-2024-09-07 08:55:23.jpeg,2024-09-07 08:55:23,Masuk
img_ocr/upload/2024-09-07 085523/2024-09-07 085657/17256742109915383989503006237536-2024-09-07 08:56:57.jpg,2024-09-07 08:56:57,Masuk
img_ocr/upload/2024-09-07 090007/1725674400761311559458033008273-2024-09-07 09:00:07.jpg,2024-09-07 09:00:07,Masuk
img_ocr/upload/2024-09-07/17256745828394860881072489155688-2024-09-07 09:03:13.jpg,2024-09-07 09:03:13,Masuk
img_ocr/upload/2024-09-07/2024-09-07/17256746100661624366651137539851-2024-09-07 09:03:41.jpg,2024-09-07 09:03:41,Keluar
img_ocr/upload/2024-09-07/2024-09-07/2024-09-07/17256747225311937095141084268031-2024-09-07 09:05:30.jpg,2024-09-07 09:05:30,Masuk
img_ocr/upload/2024-09-07/17256748518374620293786084641248-2024-09-07 09:07:40.jpg,2024-09-07 09:07:40,Masuk
img_ocr/upload/2024-09-07/17256748844768827769548482623377-2024-09-07 09:08:16.jpg,2024-09-07 09:08:16,Masuk
img_ocr/upload/2024-09-07/17243198648314075005624811343426-2024-09-07 09:09:05.jpg,2024-09-07 09:09:05,Masuk
img_ocr/upload/2024-09-07/17243198648314075005624811343426-2024-09-07 092655.jpg,2024-09-07 09:26:55,Masuk
img_ocr/upload/2024-09-07/IMG_20240829_144421-2024-09-06 09:19:13-2024-09-07 092946.jpg,2024-09-07 09:29:46,Masuk
img_ocr/upload/2024-09-07/WhatsApp Image 2024-08-14 at 1.30.57 PM (2)-2024-09-05 14:34:18-2024-09-07 093006.jpeg,2024-09-07 09:30:06,Masuk
img_ocr/upload/2024-09-07/WhatsApp Image 2024-08-14 at 1.30.57 PM (2)-2024-09-05 14:34:18-2024-09-07 093700.jpeg,2024-09-07 09:37:00,Masuk
